Time (UTCG),Power (W),Solar Intensity,Effective Area (m^2),Irradiance (W/m^2)
All,,,,
00:02:06.0,9.617,1,0.025369,1353.873963
00:02:07.0,9.615,1,0.025362,1353.966001
00:02:08.0,9.611,1,0.025352,1353.936573
00:02:09.0,9.612,1,0.025354,1353.970633
00:02:10.0,9.61,1,0.025349,1353.955918
00:02:11.0,9.606,1,0.02534,1353.873041
00:02:12.0,9.605,1,0.025337,1353.892388
00:02:13.0,9.602,1,0.025328,1353.950456
00:02:14.0,9.6,1,0.025325,1353.828797
00:02:15.0,9.596,1,0.025312,1353.959725
00:02:16.0,9.593,1,0.025304,1353.964365
00:02:17.0,9.59,1,0.025298,1353.861965
00:02:18.0,9.585,1,0.025285,1353.851804
00:02:19.0,9.581,1,0.025274,1353.875807
00:02:20.0,9.578,1,0.025266,1353.880427
00:02:21.0,9.573,1,0.025253,1353.870262
00:02:22.0,9.571,1,0.025246,1353.962721
00:02:23.0,9.567,1,0.025237,1353.879508
00:02:24.0,9.565,1,0.02523,1353.972029
00:02:25.0,9.563,1,0.025225,1353.957242
00:02:26.0,9.558,1,0.025212,1353.9471
00:02:27.0,9.559,1,0.025216,1353.873958
00:02:28.0,9.553,1,0.0252,1353.88322
00:02:29.0,9.55,1,0.025192,1353.887856
00:02:30.0,9.547,1,0.025185,1353.838736
00:02:31.0,9.545,1,0.025179,1353.877664
00:02:32.0,9.541,1,0.025169,1353.847988
00:02:33.0,9.538,1,0.025161,1353.852618
00:02:34.0,9.536,1,0.025155,1353.891586
00:02:35.0,9.531,1,0.025143,1353.827535
00:02:36.0,9.528,1,0.025132,1353.99377
00:02:37.0,9.526,1,0.025128,1353.925047
00:02:38.0,9.521,1,0.025116,1353.860942
00:02:39.0,9.518,1,0.025107,1353.91951
00:02:40.0,9.515,1,0.025099,1353.924175
00:02:41.0,9.511,1,0.02509,1353.84046
00:02:42.0,9.511,1,0.025088,1353.948387
00:02:43.0,9.508,1,0.025082,1353.845102
00:02:44.0,9.504,1,0.02507,1353.9233
00:02:45.0,9.502,1,0.025065,1353.90841
00:02:46.0,9.497,1,0.025053,1353.844136
00:02:47.0,9.494,1,0.025044,1353.902845
00:02:48.0,9.488,1,0.025029,1353.858096
00:02:49.0,9.489,1,0.025031,1353.892602
00:02:50.0,9.484,1,0.025018,1353.882348
00:02:51.0,9.482,1,0.025013,1353.867418
00:02:52.0,9.478,1,0.025002,1353.891689
00:02:53.0,9.475,1,0.024994,1353.896364
00:02:54.0,9.474,1,0.024991,1353.915981
00:02:55.0,9.472,1,0.024985,1353.95523
00:02:56.0,9.471,1,0.024982,1353.974862
00:02:57.0,9.466,1,0.02497,1353.910407
00:02:58.0,9.461,1,0.024957,1353.900137
00:02:59.0,9.458,1,0.02495,1353.850558
00:03:00.0,9.453,1,0.024936,1353.894541
00:03:01.0,9.451,1,0.024931,1353.879565
00:03:02.0,9.447,1,0.02492,1353.903921
00:03:03.0,9.445,1,0.024914,1353.943279
00:03:04.0,9.439,1,0.0249,1353.843947
00:03:05.0,9.438,1,0.024897,1353.863632
00:03:06.0,9.432,1,0.02488,1353.927423
00:03:07.0,9.43,1,0.024875,1353.912419
00:03:08.0,9.427,1,0.024866,1353.971573
00:03:09.0,9.423,1,0.024856,1353.941561
00:03:10.0,9.42,1,0.024848,1353.946279
00:03:11.0,9.415,1,0.024835,1353.935977
00:03:12.0,9.411,1,0.024825,1353.905913
00:03:13.0,9.409,1,0.024819,1353.945422
00:03:14.0,9.403,1,0.024805,1353.845711
00:03:15.0,9.399,1,0.024794,1353.870176
00:03:16.0,9.395,1,0.024783,1353.894663
00:03:17.0,9.391,1,0.024771,1353.973829
00:03:18.0,9.387,1,0.024763,1353.83435
00:03:19.0,9.387,1,0.024761,1353.943702
00:03:20.0,9.382,1,0.024749,1353.878656
00:03:21.0,9.382,1,0.024748,1353.933363
00:03:22.0,9.378,1,0.024738,1353.903191
00:03:23.0,9.377,1,0.024735,1353.923013
00:03:24.0,9.372,1,0.024722,1353.912652
00:03:25.0,9.367,1,0.02471,1353.847488
00:03:26.0,9.364,1,0.024702,1353.852204
00:03:27.0,9.36,1,0.02469,1353.931609
00:03:28.0,9.357,1,0.024682,1353.936356
00:03:29.0,9.352,1,0.024671,1353.816221
00:03:30.0,9.346,1,0.024655,1353.825651
00:03:31.0,9.344,1,0.024648,1353.920341
00:03:32.0,9.341,1,0.024641,1353.870147
00:03:33.0,9.339,1,0.024635,1353.909942
00:03:34.0,9.334,1,0.024622,1353.899532
00:03:35.0,9.331,1,0.024615,1353.849279
00:03:36.0,9.329,1,0.024609,1353.889111
00:03:37.0,9.326,1,0.024601,1353.89386
00:03:38.0,9.322,1,0.024592,1353.808439
00:03:39.0,9.32,1,0.024586,1353.848299
00:03:40.0,9.314,1,0.02457,1353.857782
00:03:41.0,9.312,1,0.024564,1353.89769
00:03:42.0,9.305,1,0.024547,1353.816876
00:03:43.0,9.302,1,0.024537,1353.931963
00:03:44.0,9.294,1,0.024518,1353.815855
00:03:45.0,9.292,1,0.024513,1353.800607
00:03:46.0,9.287,1,0.024499,1353.845346
00:03:47.0,9.285,1,0.024492,1353.940645
00:03:48.0,9.28,1,0.02448,1353.874883
00:03:49.0,9.277,1,0.024473,1353.824331
00:03:50.0,9.275,1,0.024465,1353.975066
00:03:51.0,9.271,1,0.024457,1353.833842
00:03:52.0,9.267,1,0.024446,1353.858651
00:03:53.0,9.264,1,0.024437,1353.918823
00:03:54.0,9.26,1,0.024428,1353.832838
00:03:55.0,9.256,1,0.024416,1353.913125
00:03:56.0,9.252,1,0.024407,1353.827064
00:03:57.0,9.249,1,0.024398,1353.887321
00:03:58.0,9.243,1,0.024381,1353.952434
00:03:59.0,9.237,1,0.024366,1353.906497
00:04:00.0,9.232,1,0.024354,1353.840378
00:04:01.0,9.228,1,0.024343,1353.865294
00:04:02.0,9.223,1,0.02433,1353.854735
00:04:03.0,9.219,1,0.024319,1353.879683
00:04:04.0,9.219,1,0.024318,1353.935357
00:04:05.0,9.212,1,0.024301,1353.853751
00:04:06.0,9.211,1,0.024299,1353.818205
00:04:07.0,9.207,1,0.024288,1353.843168
00:04:08.0,9.205,1,0.024281,1353.939294
00:04:09.0,9.197,1,0.024261,1353.87777
00:04:10.0,9.196,1,0.024257,1353.953792
00:04:11.0,9.192,1,0.024248,1353.867182
